"word","syllables"
"hm",1
"hmm",1
"hmmm",1
"hmph",1
"mmhmm",2
"mmhm",2
"mm",1
"mmm",1
"mmmm",1
"pff",1
"pfft",1
"psst",1
"shh",1
"shhh",1
"tsk",1
"tsktsk",2
"aa",2
"abc",3
"ac",2
"aka",3
"asap",4
"atm",3
"bc",2
"bce",3
"blt",3
"bm",2
"byob",4
"csv",3
"fdr",3
"fyi",3
"gm",2
"iq",2
"isbn",4
"jfk",3
"mc",2
"mlk",3
"mo",2
"oj",2
"pbj",3
"pc",2
"pda",3
"pm",2
"pms",3
"ps",2
"psi",3
"rbg",3
"rpg",3
"rsvp",4
"sos",3
"spf",3
"tba",3
"tbd",3
"tgif",4
"tlc",3
"ufo",3
"upc",3
"vip",3
"ytd",3
"ela",3
"dbq",3
"ssr",3
"esl",3
"ayp",3
"iep",3
"pbis",4
"nclb",4
"rti",3
"bip",3
"ais",3
"cse",3
"mr",2
"gpa",3
"iss",3
"oss",3
"pt",2
"pta",3
"dra",3
"om",2
"sri",3
"ss",2
"adha",4
"a",1
"b",0
"c",0
"d",0
"e",0
"f",0
"g",0
"h",0
"j",0
"k",0
"l",0
"m",0
"n",0
"p",0
"q",0
"r",0
"s",0
"t",0
"u",0
"v",0
"w",0
"x",0
"y",0
"z",0
"sh",1
"aardvark",2
"aback",2
"abacus",3
"abaft",2
"abalone",4
"abandon",3
"abase",2
"abash",2
"abate",2
"abatis",3
"abattoir",3
"abbacy",3
"abbe",2
"abbess",2
"abbey",2
"abbot",2
"abbreviate",4
"abbreviation",5
"abdicate",3
"abdication",4
"abdomen",3
"abdominal",4
"abduct",2
"abeam",2
"abecedarian",6
"abed",2
"aberrant",3
"aberration",4
"abet",2
"abeyance",3
"abhor",2
"abide",2
"ability",4
"abject",2
"abjection",3
"abjectly",3
"abjuration",4
"abjure",2
"ablate",2
"ablative",3
"ablaze",2
"able",2
"abloom",2
"ablution",3
"abnegate",3
"abnegation",4
"abnormal",3
"abnormality",5
"abnormally",4
"aboard",2
"abode",2
"abolish",3
"abolition",4
"abolitionist",5
"abominable",5
"abominate",4
"aboriginal",5
"aborigine",5
"aborning",3
"abortion",3
"abound",2
"about",2
"above",2
"abracadabra",5
"abrade",2
"abrasive",3
"abreast",2
"abridge",2
"abroad",2
"abrogate",3
"abrogation",4
"abrupt",2
"abscess",2
"abscound",2
"absence",2
"absent",2
"absentee",3
"absentminded",4
"absinthe",2
"absolute",3
"absolutely",4
"absolution",4
"absolutism",5
"absolve",2
"absorb",2
"abstain",2
"abstemious",4
"abstinence",3
"abstract",2
"abstraction",3
"abstracts",2
"abstruse",2
"absurd",2
"abundant",3
"abuse",2
"abut",2
"abuttals",3
"abysm",3
"abysmal",3
"abyss",2
"acacia",3
"academe",3
"academic",4
"academician",5
"academicism",6
"academy",4
"acanthus",3
"accede",2
"accelerando",5
"accelerate",4
"accent",2
"accentual",4
"accentuate",4
"accept",2
"acceptance",3
"acceptation",4
"access",2
"accessible",4
"accession",3
"accessory",4
"accidence",3
"accident",3
"accidental",4
"acclaim",2
"acclamation",4
"acclimate",3
"acclimatize",4
"acclivity",4
"accolade",3
"accommodate",4
"accommodation",5
"accompaniment",5
"accomplice",3
"accomplish",3
"accord",2
"accordance",3
"accordion",4
"accost",2
"account",2
"accountant",3
"accoutre",3
"accredit",3
"accretion",3
"accrue",2
"acculturation",5
"accumulate",4
"accuracy",4
"accurate",3
"accursed",3
"accusal",3
"accusation",4
"accusative",4
"accuse",2
"accuser",3
"accustom",3
"ace",1
"acerb",2
"acerbity",4
"acetanilide",5
"acetate",3
"acetic",3
"acetone",3
"acetylene",4
"ache",1
"achieve",2
"achromatic",4
"acid",2
"acidic",3
"acidity",4
"acidosis",4
"acidulous",4
"acknowledge",3
"acme",2
"acne",2
"acolyte",3
"aconite",3
"acorn",2
"acoustic",3
"acquaint",2
"acquiesce",3
"acquire",2
"acquisition",4
"acquisitive",4
"acquit",2
"acre",2
"acreage",3
"acrid",2
"acridity",4
"acrimonious",5
"acrimony",4
"acrobat",3
"acrobatic",4
"acrobatics",4
"acronym",3
"acrophobia",5
"acropolis",4
"across",2
"acrostic",3
"act",1
"actinic",3
"actinium",4
"action",2
"activate",3
"active",2
"activity",4
"actor",2
"actual",3
"actuality",5
"actually",4
"actuarial",5
"actuary",4
"actuate",3
"acuity",4
"acumen",3
"acute",2
"ad",1
"adage",2
"adagio",3
"adamant",3
"adamantine",4
"adapt",2
"adaptability",6
"adaptation",4
"add",1
"addendum",3
"adder",2
"addict",2
"addiction",3
"addition",3
"additional",4
"additive",3
"addle",2
"address",2
"addressee",3
"adduce",2
"adept",2
"adequate",3
"adhere",2
"adhesion",3
"adieu",2
"adios",3
"adipose",3
"adiposity",5
"adjacent",3
"adjectival",4
"adjective",3
"adjoin",2
"adjourn",2
"adjudge",2
"adjudicate",4
"adjudication",5
"adjunct",2
"adjuration",4
"adjure",2
"adjust",2
"adjutant",3
"adjuvant",3
"adman",2
"administer",4
"administrative",5
"administrator",5
"admirable",4
"admiral",3
"admiration",4
"admire",2
"admirer",3
"admissible",4
"admission",3
"admit",2
"admittance",3
"admix",2
"admixture",3
"admonish",3
"admonition",4
"admonitory",5
"ado",2
"adobe",3
"adolescence",4
"adopt",2
"adoptive",3
"adorable",4
"adoration",4
"adore",2
"adorn",2
"adrenal",3
"adrift",2
"adroit",2
"adsorb",2
"adulation",4
"adult",2
"adulterant",4
"adulterate",4
"adultery",4
"adulthood",3
"adumbrate",3
"adumbration",4
"advance",2
"advantage",3
"advantageous",4
"advent",2
"adventitious",4
"adventure",3
"adverb",2
"adverbial",4
"adversary",4
"adversative",4
"adverse",2
"adversity",4
"advert",2
"advertise",3
"advertisement",4
"advertising",4
"advice",2
"advisable",4
"advise",2
"advisement",3
"advisory",4
"advocate",3
"adze",1
"aegis",2
"aeon",2
"aerate",3
"aeration",4
"aerial",3
"aerialist",4
"aerie",2
"aero",2
"aerobe",3
"aerobic",4
"aerodrome",3
"aeronaut",3
"aeronautics",4
"aeroplane",3
"aerosol",3
"aerospace",3
"aery",2
"aesthete",2
"aesthetic",3
"aestivate",3
"aestivation",4
"afar",2
"affability",5
"affable",3
"affably",3
"affair",2
"affect",2
"affectation",4
"affection",3
"afferent",3
"affiance",3
"affidavit",4
"affiliate",4
"affinity",4
"affirm",2
"affirmation",4
"affirmative",4
"affix",2
"afflatus",3
"afflict",2
"affluence",3
"afford",2
"affray",2
"affright",2
"affront",2
"afghan",2
"afghani",3
"aficionado",6
"afield",2
"afire",2
"aflame",2
"afloat",2
"aflutter",3
"afoot",2
"aforementioned",4
"aforesaid",3
"afoul",2
"afraid",2
"afresh",2
"african",3
"afrikaans",3
"aft",1
"after",2
"afterbirth",3
"aftermath",3
"afternoon",3
"afterthought",3
"afterward",3
"again",2
"against",2
"agape",3
"agate",2
"agave",3
"age",1
"ageless",2
"agency",3
"agenda",3
"agent",2
"agglomerate",4
"agglutinate",4
"aggrandize",3
"aggrandizement",4
"aggravate",3
"aggravation",4
"aggregate",3
"aggregation",4
"aggression",3
"aggrieve",2
"aghast",2
"agile",2
"agility",4
"agitate",3
"agitation",4
"agitator",4
"agleam",2
"aglitter",3
"aglow",2
"agnostic",3
"ago",2
"agog",2
"agonize",3
"agony",3
"agora",3
"agoraphobia",6
"agrarian",4
"agree",2
"agricultural",5
"agriculture",4
"aground",2
"ague",2
"ahead",2
"ahoy",2
"aid",1
"aide",1
"aigrette",2
"ail",1
"aileron",3
"ailment",2
"aim",1
"air",1
"aircraft",2
"airlift",2
"airliner",3
"airmail",2
"airy",2
"aisle",1
"ajar",2
"akimbo",3
"akin",2
"alabaster",4
"alacrity",4
"alarm",2
"albacore",3
"albanian",4
"albatross",3
"albeit",3
"albinism",4
"albino",3
"album",2
"albumen",3
"albumin",3
"alcalde",3
"alcazar",3
"alchemical",4
"alchemist",3
"alchemy",3
"alcohol",3
"alcoholic",4
"alcoholism",5
"alcove",2
"alder",2
"alderman",3
"ale",1
"alee",2
"alehouse",2
"alembic",3
"alert",2
"alexandrian",5
"alfalfa",3
"alfresco",3
"alga",2
"algae",2
"algebra",3
"algebraic",4
"algerian",4
"alias",3
"alibi",3
"alien",3
"alienable",4
"alienation",5
"alienist",4
"alight",2
"alike",2
"aliment",3
"alimentary",5
"alimony",4
"aline",2
"alit",2
"alive",2
"alkali",3
"alkalinity",5
"alkalinize",4
"alkalize",3
"alkaloid",3
"alkyd",2
"all",1
"allah",2
"allay",2
"allegation",4
"allege",2
"allegedly",4
"allegiance",3
"allegorical",5
"allegory",4
"allegro",3
"alleluia",4
"allergen",3
"allergenic",4
"allergic",3
"allergist",3
"allergy",3
"alleviate",4
"alleviation",5
"alley",2
"allhallows",3
"alliance",3
"allied",2
"alligator",4
"alliterate",4
